date,px,Pnl
2016-02-11,26.21,0.00220416666667
2016-02-12,29.44,0.0
2016-02-15,29.76,0.0
2016-02-16,29.04,0.0404783333333
2016-02-17,30.66,0.0
2016-02-18,30.66,0.00266
2016-02-19,29.72,0.0
2016-02-22,31.43,0.0
2016-02-23,31.37,0.00828583333333
2016-02-24,32.22,0.0
2016-02-25,33.08,0.0
2016-02-26,32.84,0.0112133333333
2016-02-29,33.9,0.0
2016-03-01,33.89,0.00285333333333
2016-03-02,34.73,0.0
2016-03-03,34.69,0.0
2016-03-04,36.33,0.0
2016-03-07,37.98,0.0
2016-03-08,36.33,0.0988425
2016-03-09,38.18,0.0
2016-03-10,38.02,0.0
2016-03-11,38.49,0.0
2016-03-14,37.37,0.0
2016-03-15,36.72,0.0
2016-03-16,38.6,0.0
2016-03-17,40.34,0.0
2016-03-18,39.35,0.0134383333333
2016-03-21,39.91,0.0
2016-03-22,41.22,0.0
2016-03-23,39.76,0.0068725
2016-03-24,39.59,0.0
2016-03-28,39.3,0.0
2016-03-29,38.49,0.0
2016-03-30,38.3,0.0
2016-03-31,38.11,0.0
2016-04-01,36.63,0.0
2016-04-04,35.46,0.0
2016-04-05,36.56,0.0
2016-04-06,37.73,0.0
2016-04-07,37.53,0.0
2016-04-08,39.66,0.0
2016-04-11,40.36,0.0
2016-04-12,41.64,0.0
2016-04-13,41.55,0.0
2016-04-14,41.45,0.0
2016-04-15,40.4,0.0
2016-04-18,40.05,0.0
2016-04-19,40.96,0.0
2016-04-20,42.74,0.0
2016-04-21,43.43,0.0
2016-04-22,43.75,0.0
2016-04-25,42.99,0.0
2016-04-26,44.66,0.0
2016-04-27,45.33,0.0
2016-04-28,45.88,0.0
2016-04-29,45.99,0.0
2016-05-02,44.89,0.0
2016-05-03,43.88,0.0601575
2016-05-04,44.05,0.0
2016-05-05,44.51,0.0
2016-05-06,44.56,0.0
2016-05-09,43.24,0.0
